model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
gemma-2-2b-it,0.0,15.360297215011421,22.107523167914675,25.232734780221083,1,0,0,2.1388529438746686,10.973439827606805,1.014409503041462,1.3410758474983084,1.7591678880043138,1.0633480488750644,2.342150583185373,3.4056072427233466,2.9424159512415735,56.47349739123413,5.051796302331838,6.0823515773777554,1.4220701155359126,6.570232678572876,1.1002215613145352,1.1003791485477794,2.4113098535387536,5.7008565176626895,7.1376581957968686,4.640338315291431,15.108143577021638,15.830493400664123,16.529782218006677,16.611379321051352,32.014412514010644,437.0597312777619,0.48994201168251933,0.38271112264020996,0.4667895566800644,2
gemma-2-9b-it,1.7859649938276445,18.026904868727623,24.15210266459022,24.27823926441921,1,0,1,3.669426236653709,17.615894151022705,1.0646809052152266,1.0991447167567139,1.847448884912745,1.211674772155762,1.7411764274750472,3.852504749782562,1.8967793160306188,49.23503314781493,6.30712037330043,6.234131741167719,1.8600338130497736,5.077983359751886,1.2505241900778232,1.2814596494683668,3.175925439147119,5.673698983827437,6.9443209012577745,4.968308128772642,15.257182535685688,13.18071810616525,17.057871329759752,16.783011901306544,16.569430145010216,361.4592742402123,0.4887668758580628,,0.4625064818296684,3
gemma-3-12b-it,1.933001794070864,12.580067409285686,19.93100703651058,19.552967700006274,0,0,0,3.0463369816805006,4.466603741568594,1.4253338963375362,1.140919511097135,2.4010065711855817,1.1543158239491547,2.6526304438198993,3.613108935570984,5.136337665765585,55.34216770309266,4.503454394589499,5.907797200675441,1.418025618212048,3.869083544575011,1.0,1.1304009436063982,4.409148857742805,6.440340150579857,7.984618444377529,6.388814405233411,14.745156047559336,15.802939547458562,16.885494018785355,16.656993688587466,25.139727576193998,285.6946871572319,0.4474379686414277,0.39120284589875753,0.47902646669598925,1
gemma-3-1b-it,1.9503836523235618,14.552457899523489,19.60203767986775,27.754444687432397,2,0,0,1.552868871686658,13.29946823529561,1.3132811457830313,1.299028492253735,2.313617366585826,1.2541560247611407,2.3184196292687824,3.2268705925843304,3.9418893176765724,57.55974652046936,7.769333614828,6.03534246114586,1.5907412865417048,5.064483125509113,1.096084568422078,1.0,2.5385887226366655,5.601202574649279,6.695919922954765,5.362529295341303,15.113549408918002,16.0,16.149367732391557,15.990331676177934,40.09462422867218,461.77341161446583,0.5162187971234382,0.3997061017197954,0.5038404547870585,1
gemma-3-27b-it,1.8751370143753248,14.9150768153781,23.73040464728132,22.01224999813793,1,1,2,2.313250203092257,5.4752824370618685,1.9353055377938069,1.2521568502588027,3.1258792957127053,1.2823421242678223,3.5610732896675,3.936181179660979,2.906709282614224,50.61344382343301,6.0902361884308185,6.161030705945297,1.5561462760687308,8.888107602568438,1.0,1.8538540455954224,2.4912034227228688,6.180925614345721,7.602970744699774,5.270544814733164,16.09913026310876,13.97648749608006,16.17196840080031,16.161942991840693,31.803817780756056,384.24932649898835,0.43873885739933816,0.35377709041535577,0.48085047212360343,1
gemma-3-4b-it,1.76564482754549,14.389716335023468,23.201522024467685,21.723269959374782,1,1,0,5.620593948895861,9.154672662506222,1.7726345171846156,1.4620912399414472,2.8356503618084776,1.8395105952098731,2.6557683701456853,3.558191860767023,3.909461415714677,58.61954519102785,2.8523260470081455,5.257629707516806,1.4618768054843434,5.985869739147212,1.099700657920152,1.10065489470941,2.6226188265887607,5.6605732695048845,6.49347897543809,5.365075418518012,13.99692340265683,16.055668171619867,16.208644745629705,16.557126069920965,34.70788290017958,376.5532723708536,0.4711597205101578,0.37345426940650994,0.4730150296184869,1
gpt-oss-20b,2.5033983367706067,15.823159556595213,23.69193741801602,19.551650259712755,2,2,3,6.840447617582436,13.777353493414568,1.5648202646441813,1.4441370815676666,3.2693227511964293,1.3534235329779847,3.222325356416394,4.354159170559339,4.345157542310398,40.645572789060395,10.762474827176565,4.648288063023538,1.1208022074471646,5.044199792437453,3.369236668164441,3.9778661713070913,5.529304910995777,6.46767718789048,6.785778361642254,6.106910329927122,17.131745776986723,17.831550102997422,18.24448989459546,17.206422219371284,,,0.4964377110794248,,0.47509943111000935,3
granite-3.3-2b-instruct,0.0,12.025302724723767,16.06466373101836,23.024729346910647,1,0,0,3.0260989447013618,7.239757179345286,2.0056533082881973,1.1497320883002167,3.160309400131471,1.1770681965101364,3.263424943147335,3.9365348744438027,0.1739072616279898,56.205455755359765,4.2896520940944045,5.499734402379925,1.5775056878191802,5.0910654467747465,1.0,1.0,3.373725196866535,6.448974773629725,6.970450265186823,6.433084238496882,14.296178369605371,12.992968173902314,16.58160668940607,14.935723744168271,23.43685079810263,428.5542909266533,0.5322585735157807,0.4022777575118164,0.5079830278123396,3
granite-3.3-8b-instruct,2.353363059754922,14.291416826242527,23.98360500268599,22.03770598971889,2,1,0,2.015041489876733,8.217697456202202,2.1830116066809406,1.6372031949114163,2.5274175477068983,1.5129309072571269,2.8223021934046786,3.2368933326749234,1.1990003928513957,54.46287964293615,5.998406969334053,5.502261802539474,1.6471132595280495,4.0,5.8799938992518195,3.221552617839161,4.350665105413186,6.381207692648199,7.934093240550382,6.120428964957397,13.312010767761306,17.040677772519288,17.14554084559618,15.637984135262132,43.59719260011162,401.98858376468877,0.5239710617555392,0.41131468466339305,0.43369276446327476,2
zephyr-7b-beta,2.293487755778452,17.131398124626724,24.095009545822307,22.999171839213904,2,1,3,4.000694607359446,8.784081794185232,1.9931388382051158,2.04667891126278,3.1909217252650897,2.0272285260911045,2.7123013410473926,3.4723229952464827,1.1791556421232654,51.94360225323908,8.358640090688748,5.378694568973126,1.4376939997831635,7.754681828514461,3.2987521831326063,4.640600463961457,6.265486815886563,6.0,6.743448417551911,3.5750685212176574,15.0,14.0,15.0,15.59,13.985906567940134,399.3037878874935,0.5418617574704742,0.4526505344449322,0.43599374086273257,2
