model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
SmolLM3-3B,1.9371467507060511,15.027379789168808,21.774338257595026,23.565597603594828,2,1,2,1.5378380822206206,10.533001623439649,1.6019313567665505,1.1137007415970464,2.574633116526266,1.2907911444295463,2.4350041232120327,3.396732808548599,2.0575636347054718,52.20536926435681,4.800665102465447,46.98118949033374,12.573682123907886,6.1151585632509695,3.4514262625771295,3.245771183410449,4.368951222451616,6.041928243338355,6.615767681907883,5.725358749631891,14.201193512539923,15.250641782282523,16.86346195007378,16.619770514384484,37.548939514123,435.7799976715777,0.49070802324895796,0.40689550574607336,0.47211599848292685,3
TildeOpen-30b,2.0052078738085966,15.61778244827788,22.178001870883165,24.876070369098777,1,1,1,1.6248451428004826,13.059295938425079,1.873765591809097,1.220224828807396,2.6089105106807793,1.5308098305149682,2.5642245028554083,3.3792965592692847,2.33397758864626,50.54098826679992,5.544695356777133,43.193827469937354,12.588621938661218,6.036148420922381,3.0343898950401647,2.9463169246498313,4.589231810539735,6.065861958798883,6.860651339594724,5.832947476337709,14.218491847600175,15.164278501415797,16.756469964738958,16.514995105001585,36.24130367936041,467.74647531637595,0.47875650611467,0.40646351809874587,0.43136167803952974,4
bloomz-3b,1.9641469023512694,15.350411261540836,22.331132724086977,24.656534045860784,2,1,1,1.5370741990120784,14.138040613373498,1.811640262238337,1.2917651437126751,2.562924887704491,1.462408571561937,2.497028611173058,3.336674673618703,2.4496670806075715,47.64938546035461,5.408950201399852,44.04153624344931,12.19251107286135,6.193460088575749,3.998995826031779,3.91028063805444,5.4495358916792975,6.098050682769028,6.451594545188234,5.844395696319661,14.66697342253816,14.804710175452254,16.237113644551414,16.19740450659218,37.81640298217019,,0.4802153385916576,,0.46118501728931366,3
bloomz-7b1,2.0892547818644402,13.819029717069963,21.109864194922476,22.429362018945874,2,2,3,1.3579904895408437,12.138798860030263,1.8617994851681918,1.3009917531934674,2.6072915756712596,1.481425242317206,2.5518795797293032,3.387308393441038,3.2866838715547813,52.36477235122511,5.129160752085907,44.90429978566873,12.221775652885288,6.378927344509263,2.5204372494393317,3.3629569681259697,4.4815331273794206,6.114568840052795,6.6491308810774745,5.381240911166411,14.73306695647012,14.383142831640383,16.13421935539383,15.867137484136867,38.22118018069125,,0.49047183669249034,,0.4380850572949415,3
gemma-2-27b-it,1.9975123741853376,16.523639350445244,23.07341664793826,25.201305448317907,1,1,1,1.2268302384284169,11.266381269364132,1.746739657675629,1.2446212709390663,2.501114282283221,1.719267035381191,2.6053242372234404,3.5515000317200633,2.443502488416813,50.03143192730423,6.026277003911037,42.75086138924477,12.438380742070702,6.0043028080179734,3.069815807756893,3.1258761233437253,4.480426766596509,6.047022368855423,6.813984922992049,5.916479464172014,14.464516943253898,14.765939722202372,16.706592172187946,16.43710005655791,,,0.5041624182121905,,0.47313529085916883,4
gemma-2-2b-it,1.986895921146,16.42774114184393,23.19946974266931,25.18845700504194,1,0,1,1.120404057545433,13.903534740604133,1.747196163088907,1.2365924911253676,2.480464290140072,1.5130687066329669,2.522778693712295,3.418741174464438,2.868741975967119,49.77940014266646,5.877710212192255,43.72735966679829,12.341500011714832,6.025437344171201,3.2426465843036825,3.200064786727435,4.707964770555241,6.037148582410397,6.820795732385622,5.7739549028129735,14.26684926653387,15.067433265210726,16.86980100577916,16.675356451539578,37.39791325815106,447.39821754737017,0.4797336274786792,0.398075360679065,0.46165641848928196,3
gemma-2-9b-it,2.06070638147702,16.789504333795186,23.698236959144438,25.363434903368354,1,1,1,1.4568646502794695,14.966282068502798,1.7167461971438605,1.248399421703196,2.4130515651910596,1.5926592702894453,2.4599326423970163,3.4123633703365592,2.3017752209745996,48.705787100964585,6.1560660519489865,45.50547829252768,12.478351955133466,6.037113462929001,3.680975449256216,3.614062328254267,5.1558606638840505,6.115548929445774,6.766996041496457,5.87428549008958,14.299876605564322,15.01813500646314,16.98107607940977,16.8345943286135,36.27944906827564,448.6329126086013,0.47992755982706203,,0.4652552079609034,4
gemma-3-12b-it,2.087413950113682,15.950698214948963,22.96578919691695,24.51760729272052,2,0,0,1.4403675813994536,11.69334681469168,1.8560121402230458,1.2638597375374996,2.5785596809760722,1.5290672493361237,2.5725478974142177,3.422796225287296,2.800388333926315,49.72699695208011,5.628515486269057,44.63150520799791,12.342387454350591,6.049776060214363,3.4310311934997815,3.441052712634908,5.3728202425768234,6.167009388509275,6.932047792598101,6.04561115999131,14.225108347117237,15.270120817230797,16.788360337728836,16.60519644498342,35.41407516013941,409.4815396049729,0.4715213361355305,0.40213611772541014,0.46791871529154916,4
gemma-3-1b-it,2.027168536036984,15.949926088854042,22.603764841978215,26.03355187419344,2,0,0,0.965477503040768,14.36220805164594,1.8261584222939153,1.2821679028467774,2.5342649157894694,1.505058591463227,2.506833842293693,3.3370352775035057,2.663333507844135,50.59400422743776,6.846251815054235,44.78944723583611,12.474392857205993,6.1070816279644795,3.364386934085278,2.9260756589720267,4.920357861392149,6.032297544211544,6.6980345170013855,5.9283941111659715,14.248052416448491,15.31439172485274,16.784097848416295,16.80892241144783,37.50865031378865,452.16891477057135,0.48814357684052645,0.3917593473469758,0.4766392701781965,4
gemma-3-27b-it,2.016746958775949,16.335714261995264,23.469304732496568,25.133827590855926,1,1,1,1.408680348600285,12.906939277257562,1.86982794724443,1.271998225940072,2.59021940473833,1.5438728454043833,2.614412808999459,3.4607422107402805,2.403630683519447,48.6394303664302,6.241857961068749,43.860154374552394,12.423233272853478,6.001642285381722,2.8667490924156,3.210309454639213,4.831596411361863,6.13150994043616,7.021567258700722,5.903056838553185,14.327573457713557,15.028304471939084,16.84286318195644,16.688989712193592,35.61232774855062,438.17225056665944,0.48155264233720335,0.3922587965693514,0.4706104977247582,4
