model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Qwen2.5-7B-Instruct,3.499053952737033,21.775794970791605,30.49077244836543,30.463600008942084,2,0,0,25.281891329891813,50.13216119553868,3.8285906015125626,4.0369702664787175,3.9658084160919236,3.783980306837713,3.95169604636245,3.7164185054091567,11.117298305445923,33.951002320058585,94.74059157296763,29.4333241542046,11.736817489891434,5.470639229923962,2.4686793139994654,2.68657960002561,3.4740371689890077,4.577047294388279,4.394329066654042,4.379653683840754,11.756077232200877,12.15980348465954,11.0897809259802,11.290206368287205,35.372502385256055,444.92527115021585,0.4803493809061,0.39937834899540287,0.4537625593061119,4
Qwen3-1.7B,3.723544508977968,23.420201375695225,32.53391302352661,32.01432258750707,2,0,0,36.2583068836192,59.83689554128071,4.59259808855015,4.782638545824973,4.617069656651437,4.682737007413707,4.528646935180646,4.355460388227513,14.23258721591355,48.70555322073183,99.35141453685574,40.67158308243633,13.810596339643453,5.8263179307658,3.5877611881310028,4.448130895369718,5.360512279538568,6.076009922308599,6.086708875273344,6.010448105712832,18.06031014503885,18.257678300355494,18.31997236183602,18.30865429881167,36.82407622221924,455.98182031896715,0.4815690635235791,0.391682364237628,0.47049963168972214,3
Qwen3-14B,3.260282420800443,18.960855651114336,25.630421778197352,26.36755573533161,2,0,1,30.91794521063367,44.35601400527441,3.100845796509225,2.8020262100631235,3.0639374063156963,3.187376159437582,3.1224794138477936,2.9519031360265293,11.534308066376603,37.25634404493529,68.69048462831601,29.019435587958164,13.261490282576274,6.173676508922381,3.153348456460522,4.137100590506937,5.153696660689068,5.34674386429531,5.585697404129843,6.104384378028842,15.116287192296246,14.507897118904426,14.971915063023467,14.779978716883088,36.26984365684021,449.9800073605205,0.48185664719081733,0.4015469042315804,0.47352631910581194,3
Qwen3-30B-A3B-Instruct-2507,3.319113253225529,17.420528696526546,24.030581201541956,23.72325488758506,1,1,1,28.59309108998758,41.14563438174623,2.7136938344518295,2.7076491864871697,2.7929705797725135,2.739185433630081,2.826179443380615,2.692977864294697,11.709951226390384,32.132716604621514,52.935074122156834,25.645994206637724,11.480901083486565,5.636136075549343,2.931212517119519,3.43123678208991,4.918193409276388,5.310024017238208,5.219385701791453,5.440089517738112,14.353416674046729,14.319024345857354,14.489145971126863,14.25517540591212,35.747087552016595,439.2008967781691,0.4813457381085934,0.39496258934299877,0.4662691683717782,4
Qwen3-32B,3.5399668435218534,19.142000731946872,26.278940649860875,26.175294714610704,2,1,1,31.72705509674776,45.28903546158007,3.5244398575924136,3.6423171523625095,3.3815619175497686,3.66002096848623,3.4214187640172167,3.385977292683865,12.924221200964832,42.46367784132767,77.02907330632699,36.746988827657916,13.178417735657563,7.109011274445237,5.5127072097777745,5.5916435145690055,6.1318299809700845,5.919658917100247,6.360955719777273,6.244056970610413,16.094541100282427,15.663435214550605,15.8532926453078,15.805371037398409,37.151457022512346,449.5785413420146,0.49211049304609844,0.38939827933922244,0.4650835877912327,3
Qwen3-4B,3.1471824680226566,14.35250217517844,19.978958473889826,20.128321097238956,1,0,1,22.189173348808833,31.357622280595894,2.6863850316627707,2.6125299371104367,2.853083453662574,2.84105120912539,2.951701445321557,2.743774171092082,9.059692877529047,24.228300550072575,43.67703067975045,26.96512356497499,9.789526725003192,5.258512109082597,2.208336993681903,2.790946711927898,3.6271876610402463,4.513252218925168,4.259305340706413,4.604186372927361,11.194957358255415,11.47110052116457,11.173755758600256,11.290234099759838,34.986177188482564,429.1913815799616,0.47811525964302426,0.3985437720794331,0.46495594230562565,4
Qwen3-8B,3.343218203340169,17.764322198269237,24.47409643064667,25.341464823097063,1,0,0,30.14063380377472,39.425273418074596,2.5852424374748115,2.545906421038689,2.582507839229602,2.584538380425316,2.526507102240028,2.562679230208121,11.35377053857685,34.82760794725902,63.67831092333745,26.207275314202985,12.666899526580684,5.448269339145096,2.934017608083965,3.13875809333913,4.330044611556411,4.786099151907774,4.9230695861235105,4.604215767220022,13.880477668458102,13.96471686840416,13.710289935449223,13.695238111227312,37.5447436820015,442.391905254796,0.476145022053608,0.40116144387145064,0.46957339751884014,3
SmolLM3-3B,2.952616616223767,13.268932998285747,18.58991262175967,19.1127667867776,2,1,2,24.018271491858403,30.351998522026552,1.9771066607776546,1.8593264959649667,2.1607172483478347,1.9855840830264535,2.070550258023149,2.1855646888951137,9.97928387056783,25.38408591067757,36.70988440277763,19.68736454282496,11.084067182571864,5.245741872551143,3.866126991641648,3.75237845440559,4.280195194173936,5.026793198735374,4.966032280057075,4.824487132936204,11.909888854748694,11.775271768085478,11.943190780974463,11.650696621044633,37.548939514123,435.7799976715777,0.49070802324895796,0.40689550574607336,0.47211599848292685,3
TildeOpen-30b,3.4119522880358844,18.88950060904639,26.763734646074788,26.03260856503564,1,1,1,27.662859605103822,48.07453505765617,2.942993113998643,2.8894619593497524,2.9775022027384597,2.909366435903014,2.978693354369445,2.877579253261981,11.729824700087748,37.15461132442755,64.9144738366434,27.181670586215407,11.611197723958812,6.376403158410516,3.572091732552855,3.694888532005672,4.523913937265521,5.232060057615507,5.229876898337924,5.233246405925682,14.720634278638178,14.65281258224596,14.866834073352468,14.777795254815887,36.24130367936041,467.74647531637595,0.47875650611467,0.40646351809874587,0.43136167803952974,4
bloomz-3b,3.3409092883200326,16.23893392834114,22.648191251833648,22.30090994330401,2,1,1,27.66218023701662,38.662688181196366,2.3369406910729795,2.504646628917796,2.47037404130048,2.131186013035157,2.4700403844069863,2.3605262582146036,11.667978622590327,37.30834378656882,55.55806226272438,32.04540853780498,12.13213820397816,5.834310167597572,6.179668193356987,6.539962373332021,6.950065856132402,5.982057928213801,5.936466643111796,7.40330308117813,14.537419107139543,14.152090536656381,14.285564729034453,14.299863954609702,37.81640298217019,,0.4802153385916576,,0.46118501728931366,3
bloomz-7b1,3.3709019894046888,18.690848239957592,27.144314200483482,28.04348568685763,2,2,3,24.085760806480792,48.36965683182879,2.953679255097608,2.8796421177960703,2.4961155025773203,2.630012250641731,2.8508251364459523,2.6683687372312366,11.987949972272833,42.02066105547103,58.73799297110905,32.39566621139187,11.168666988032497,5.847581964762863,7.25319546393975,5.928664298271339,7.021874411469695,5.834530108846487,5.418808304975351,7.151964715076581,13.991935768107199,13.740997932878816,14.078732351582723,14.247621353219525,38.22118018069125,,0.49047183669249034,,0.4380850572949415,3
gemma-2-27b-it,3.282938707196879,19.291318466626993,27.15497496571149,27.637076420932186,1,1,1,28.41832847006524,47.89659703673285,2.3706631089025394,2.2091354437848314,2.599781210497476,2.542819832333876,2.6808272309698484,2.7445769723377955,12.440658144786415,34.87195265366647,49.25177491019831,31.69099120862532,11.308237810584668,5.995206232901744,3.1930824074227417,3.5477890018998792,3.906886290319196,4.943574138113753,4.741381661744564,4.662342634482838,14.014277305754348,14.209879782451907,14.396322736855552,14.084408683076576,,,0.5041624182121905,,0.47313529085916883,4
gemma-2-2b-it,3.3078604256139053,19.37194352172464,27.053585309671938,26.819484060032327,1,0,1,28.386871097846235,47.89315582482018,3.0025418770179293,3.174932922150248,3.0091796495285292,2.951033858555765,2.930090045830908,2.8997138002337746,11.675015610140342,36.14207434633086,52.27347831108876,29.70657197468816,11.133650459223363,6.520606128145055,3.908923097470272,4.133476880656167,4.635349556520684,5.3773578067650085,5.15748142090541,5.404448136539278,13.682534907294269,13.462872309856941,13.32734007884083,13.6035855497045,37.39791325815106,447.39821754737017,0.4797336274786792,0.398075360679065,0.46165641848928196,3
gemma-2-9b-it,3.3459131046484196,19.565990269724846,27.61477043183362,26.74118245770273,1,1,1,30.332699722889412,43.77970260764097,3.3678980916280565,3.372320095230678,3.3761254421500646,3.197463697927055,3.2336772403297753,2.9893121492561945,12.261396945924066,38.49463114287127,73.93184126746768,34.36773782425189,12.163253266246256,6.7398695220354945,4.722791984023691,5.307570427695272,5.866624050393271,6.107624541862682,6.106973855915481,6.2319606077900955,15.380995058143531,15.169444767408514,15.281587239532291,15.198966265025788,36.27944906827564,448.6329126086013,0.47992755982706203,,0.4652552079609034,4
gemma-3-12b-it,3.4633478783872755,18.854752147630396,26.61251777442407,26.893106617541434,2,0,0,27.62685922142832,47.72820989654366,2.885717187011707,2.786254611111488,2.920324792712454,2.8267952173487045,2.9020743309031496,2.8378267505076336,14.124279199383027,39.01924505152685,67.43270658779555,31.482302379453483,11.488179597062661,5.839167015495077,3.8383762672148767,4.0967217453227995,5.2664385307663135,5.540308019002246,5.202529433642411,6.00208988949186,14.881583442917234,14.803380911344776,14.79446137662596,14.658571066119563,35.41407516013941,409.4815396049729,0.4715213361355305,0.40213611772541014,0.46791871529154916,4
gemma-3-1b-it,3.3308115814804258,21.641580067738275,29.862277246806002,29.403821823588725,2,0,0,30.69116889962629,49.291197670500516,3.318668309493317,2.9990971378315834,3.047170274589812,3.2329344336025025,3.0893260342446935,3.2000642213665675,11.485663007608387,40.279244248020554,67.59729602879763,29.776098386826355,11.64676575326352,5.951268317973049,3.966140284943919,3.392025393693534,4.8413723212132735,5.289989019538331,4.8413954552632985,5.346178339788011,14.742791204973576,14.695573095904708,14.512361393034249,14.528672852269437,37.50865031378865,452.16891477057135,0.48814357684052645,0.3917593473469758,0.4766392701781965,4
